1;supply_node;317.00;9.55;1519.00;-1.57;0
1;supply_node;326.00;9.57;1528.00;-1.57;0
1;supply_node;304.00;9.53;1517.00;-1.57;0
1;supply_node;326.00;9.55;1491.00;-1.57;0
1;supply_node;285.00;9.52;1525.00;-1.57;0
1;supply_node;298.00;9.52;1502.00;-1.57;0
1;supply_node;313.00;9.55;1532.00;-1.57;0
1;supply_node;292.00;9.52;1512.00;-1.57;0
1;arms_factory;318.00;9.56;1532.00;-1.57;0
1;arms_factory;328.00;9.56;1512.00;-1.57;0
1;industrial_complex;299.00;9.53;1532.00;-1.57;0
1;air_base;305.00;9.52;1510.00;-1.57;0
1;bunker;325.00;9.55;1507.00;-1.57;0
1;bunker;291.00;9.51;1518.00;-1.57;0
1;bunker;309.00;9.53;1498.00;-1.57;0
1;bunker;307.00;9.54;1526.00;-1.57;0
1;bunker;295.00;9.52;1502.00;-1.57;0
1;bunker;320.00;9.55;1509.00;-1.57;0
1;bunker;285.00;9.52;1531.00;-1.57;0
1;bunker;307.00;9.54;1530.00;-1.57;0
1;bunker;311.00;9.55;1526.00;-1.57;0
1;bunker;296.00;9.53;1530.00;-1.57;0
1;bunker;328.00;9.55;1501.00;-1.57;0
1;bunker;338.00;9.56;1519.00;-1.57;0
1;anti_air_building;290.00;9.52;1523.00;-1.57;0
1;synthetic_refinery;332.00;9.56;1516.00;-1.57;0
1;fuel_silo;307.00;9.54;1527.00;-1.57;0
1;stronghold_network;293.00;9.52;1509.00;-1.57;0
1;special_project_facility_spawn;324.00;9.55;1484.00;-1.57;0
1;special_project_facility_spawn;310.00;9.55;1528.00;-1.57;0
1;special_project_facility_spawn;304.00;9.52;1503.00;-1.57;0
1;special_project_facility_spawn;312.00;9.54;1500.00;-1.57;0
1;special_project_facility_spawn;312.00;9.54;1516.00;-1.57;0
1;special_project_facility_spawn;320.00;9.55;1498.00;-1.57;0
1;special_project_facility_spawn;286.00;9.52;1532.00;-1.57;0
1;special_project_facility_spawn;320.00;9.56;1524.00;-1.57;0
1;special_project_facility_spawn;304.00;9.53;1526.00;-1.57;0
4;floating_harbor;321.00;9.51;1377.00;-1.57;0
8;floating_harbor;1603.00;9.51;1924.00;-1.57;0
9;floating_harbor;688.00;9.51;1118.00;-1.57;0
10;bunker;1871.00;9.55;1365.00;-1.57;0
10;fuel_silo;1873.00;9.56;1379.00;-1.57;0
10;special_project_facility_spawn;1870.00;9.55;1367.00;-1.57;0
10;special_project_facility_spawn;1871.00;9.57;1380.00;-1.57;0
17;floating_harbor;831.00;9.51;1907.00;-1.57;0
19;floating_harbor;380.00;9.51;1083.00;-1.57;0
25;floating_harbor;1554.00;9.51;1124.00;-1.57;0
26;floating_harbor;1236.00;9.51;1883.00;-1.57;0
29;floating_harbor;719.00;9.51;1749.00;-1.57;0
31;floating_harbor;838.00;9.51;916.00;-1.57;0
39;floating_harbor;1118.00;9.51;972.00;-1.57;0
42;floating_harbor;2050.00;9.51;1511.00;-1.57;0
44;floating_harbor;849.00;9.51;1872.00;-1.57;0
49;floating_harbor;599.00;9.51;1180.00;-1.57;0
50;floating_harbor;660.00;9.51;1177.00;-1.57;0
51;floating_harbor;1627.00;9.51;1935.00;-1.57;0
54;floating_harbor;998.00;9.51;1833.00;-1.57;0
63;floating_harbor;843.00;9.51;1028.00;-1.57;0
70;floating_harbor;1027.00;9.51;949.00;-1.57;0
75;floating_harbor;1532.00;9.51;1936.00;-1.57;0
80;floating_harbor;923.00;9.51;1773.00;-1.57;0
81;floating_harbor;2046.00;9.51;1728.00;-1.57;0
104;supply_node;673.00;9.52;1205.00;-1.57;0
104;special_project_facility_spawn;673.00;9.52;1208.00;-1.57;0
104;special_project_facility_spawn;676.00;9.53;1206.00;-1.57;0
105;floating_harbor;1157.00;9.51;962.00;-1.57;0
107;floating_harbor;1885.00;9.51;1338.00;-1.57;0
110;floating_harbor;894.00;9.51;909.00;-1.57;0
117;floating_harbor;1690.00;9.51;1170.00;-1.57;0
119;floating_harbor;374.00;9.51;1039.00;-1.57;0
121;dockyard;1235.00;9.51;1077.00;-1.57;0
121;nuclear_reactor_spawn;1229.00;9.52;1067.00;-1.57;0
121;floating_harbor;1275.00;9.51;1123.00;-1.57;0
124;supply_node;1285.00;9.51;1008.00;-1.57;0
124;arms_factory;1287.00;9.52;1009.00;-1.57;0
124;arms_factory;1287.00;9.51;1008.00;-1.57;0
124;arms_factory;1280.00;9.52;1101.00;-1.57;0
124;industrial_complex;1277.00;9.51;1016.00;-1.57;0
124;industrial_complex;1279.00;9.52;1079.00;-1.57;0
124;industrial_complex;1284.00;9.51;1012.00;-1.57;0
124;air_base;1276.00;9.51;1020.00;-1.57;0
124;bunker;1299.00;9.51;1008.00;-1.57;0
124;bunker;1273.00;9.52;1026.00;-1.57;0
124;coastal_bunker;1273.00;9.51;1021.00;-1.57;0
124;naval_base_spawn;1271.00;9.51;1024.00;-1.57;16987
124;anti_air_building;1272.00;9.53;1048.00;-1.57;0
124;nuclear_reactor_spawn;1276.00;9.51;1071.00;-1.57;0
124;rocket_site_spawn;1269.00;9.51;1041.00;-1.57;0
124;floating_harbor;1268.00;9.51;1046.00;-1.57;0
